"GLORIA_region_code","GLORIA_region","FABIO_area","FABIO_area_code","FABIO_iso3c","comment","GLORIA_Lfd_Nr","GLORIA_Region_names","allocation_share"
"AFG","Afghanistan","Afghanistan",2,"AFG",NA,5,"Afghanistan",1
"AGO","Angola","Angola",7,"AGO",NA,6,"Angola",1
"ALB","Albania","Albania",3,"ALB",NA,7,"Albania",1
"ARE","United Arab Emirates","United Arab Emirates",225,"ARE",NA,8,"United Arab Emirates",1
"ARG","Argentina","Argentina",9,"ARG",NA,9,"Argentina",1
"ARM","Armenia","Armenia",1,"ARM",NA,10,"Armenia",1
"AUS","Australia","Australia",10,"AUS",NA,11,"Australia",1
"AUT","Austria","Austria",11,"AUT",NA,12,"Austria",1
"AZE","Azerbaijan","Azerbaijan",52,"AZE",NA,13,"Azerbaijan",1
"BDI","Burundi","Burundi",29,"BDI",NA,14,"Burundi",1
"BEL","Belgium","Belgium",255,"BEL",NA,15,"Belgium",1
"BEN","Benin","Benin",53,"BEN",NA,16,"Benin",1
"BFA","Burkina Faso","Burkina Faso",233,"BFA",NA,17,"Burkina Faso",1
"BGD","Bangladesh","Bangladesh",16,"BGD",NA,18,"Bangladesh",1
"BGR","Bulgaria","Bulgaria",27,"BGR",NA,19,"Bulgaria",1
"BHR","Bahrain","Bahrain",13,"BHR",NA,20,"Bahrain",1
"BHS","Bahamas","Bahamas",12,"BHS",NA,21,"Bahamas",1
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina",80,"BIH",NA,22,"Bosnia and Herzegovina",1
"BLR","Belarus","Belarus",57,"BLR",NA,23,"Belarus",1
"BLZ","Belize","Belize",23,"BLZ",NA,24,"Belize",1
"BOL","Bolivia","Bolivia (Plurinational State of)",19,"BOL",NA,25,"Bolivia",1
"BRA","Brazil","Brazil",21,"BRA",NA,26,"Brazil",1
"BRN","Brunei Darussalam","RoW",999,"ROW",NA,27,"Brunei Darussalam",0
"BTN","Bhutan","RoW",999,"ROW",NA,28,"Bhutan",0
"BWA","Botswana","Botswana",20,"BWA",NA,29,"Botswana",1
"CAF","Central African Republic","Central African Republic",37,"CAF",NA,30,"Central African Republic",1
"CAN","Canada","Canada",33,"CAN",NA,31,"Canada",1
"CHE","Switzerland","Switzerland",211,"CHE",NA,32,"Switzerland",1
"CHL","Chile","Chile",40,"CHL",NA,33,"Chile",1
"CHN","China","China, mainland",41,"CHN",NA,34,"China",1
"CIV","Cote d'Ivoire","Côte d'Ivoire",107,"CIV",NA,35,"Cote d'Ivoire",1
"CMR","Cameroon","Cameroon",32,"CMR",NA,36,"Cameroon",1
"COD","DR Congo","Democratic Republic of the Congo",250,"COD",NA,37,"DR Congo",1
"COG","Rep Congo","Congo",46,"COG",NA,38,"Rep Congo",1
"COL","Colombia","Colombia",44,"COL",NA,39,"Colombia",1
"CRI","Costa Rica","Costa Rica",48,"CRI",NA,40,"Costa Rica",1
"CUB","Cuba","Cuba",49,"CUB",NA,41,"Cuba",1
"CYP","Cyprus","Cyprus",50,"CYP",NA,42,"Cyprus",1
"CZE","CSSR/Czech Republic (1990/1991)","Czech Republic",167,"CZE",NA,43,"CSSR/Czech Republic (1990/1991)",1
"DEU","Germany","Germany",79,"DEU",NA,44,"Germany",1
"DJI","Djibouti","Djibouti",72,"DJI",NA,45,"Djibouti",1
"DNK","Denmark","Denmark",54,"DNK",NA,47,"Denmark",1
"DOM","Dominican Republic","Dominican Republic",56,"DOM",NA,48,"Dominican Republic",1
"DYE","DR Yemen (Aden)","Yemen",249,"YEM",NA,46,"DR Yemen (Aden)",0
"DZA","Algeria","Algeria",4,"DZA",NA,49,"Algeria",1
"ECU","Ecuador","Ecuador",58,"ECU",NA,50,"Ecuador",1
"EGY","Egypt","Egypt",59,"EGY",NA,51,"Egypt",1
"ERI","Eritrea","RoW",999,"ROW",NA,52,"Eritrea",0
"ESP","Spain","Spain",203,"ESP",NA,53,"Spain",1
"EST","Estonia","Estonia",63,"EST",NA,54,"Estonia",1
"ETH","Ethiopia/DR Ethiopia (1992/1993)","Ethiopia",238,"ETH",NA,55,"Ethiopia/DR Ethiopia (1992/1993)",1
"FIN","Finland","Finland",67,"FIN",NA,56,"Finland",1
"FRA","France","France",68,"FRA",NA,57,"France",1
"GAB","Gabon","Gabon",74,"GAB",NA,58,"Gabon",1
"GBR","United Kingdom","United Kingdom",229,"GBR",NA,59,"United Kingdom",1
"GEO","Georgia","Georgia",73,"GEO",NA,60,"Georgia",1
"GHA","Ghana","Ghana",81,"GHA",NA,61,"Ghana",1
"GIN","Guinea","Guinea",90,"GIN",NA,62,"Guinea",1
"GMB","Gambia","Gambia",75,"GMB",NA,63,"Gambia",1
"GNQ","Equatorial Guinea","RoW",999,"ROW",NA,64,"Equatorial Guinea",0
"GRC","Greece","Greece",84,"GRC",NA,65,"Greece",1
"GTM","Guatemala","Guatemala",89,"GTM",NA,66,"Guatemala",1
"HKG","Hong Kong","China, Hong Kong SAR",96,"HKG",NA,68,"Hong Kong",1
"HND","Honduras","Honduras",95,"HND",NA,67,"Honduras",1
"HRV","Croatia","Croatia",98,"HRV",NA,69,"Croatia",1
"HTI","Haiti","Haiti",93,"HTI",NA,70,"Haiti",1
"HUN","Hungary","Hungary",97,"HUN",NA,71,"Hungary",1
"IDN","Indonesia","Indonesia",101,"IDN",NA,72,"Indonesia",1
"IND","India","India",100,"IND",NA,73,"India",1
"IRL","Ireland","Ireland",104,"IRL",NA,74,"Ireland",1
"IRN","Iran","Iran (Islamic Republic of)",102,"IRN",NA,75,"Iran",1
"IRQ","Iraq","Iraq",103,"IRQ",NA,76,"Iraq",1
"ISL","Iceland","Iceland",99,"ISL",NA,77,"Iceland",1
"ISR","Israel","Israel",105,"ISR",NA,78,"Israel",1
"ITA","Italy","Italy",106,"ITA",NA,79,"Italy",1
"JAM","Jamaica","Jamaica",109,"JAM",NA,80,"Jamaica",1
"JOR","Jordan","Jordan",112,"JOR",NA,81,"Jordan",1
"JPN","Japan","Japan",110,"JPN",NA,82,"Japan",1
"KAZ","Kazakhstan","Kazakhstan",108,"KAZ",NA,83,"Kazakhstan",1
"KEN","Kenya","Kenya",114,"KEN",NA,84,"Kenya",1
"KGZ","Kyrgyzstan","Kyrgyzstan",113,"KGZ",NA,85,"Kyrgyzstan",1
"KHM","Cambodia","Cambodia",115,"KHM",NA,86,"Cambodia",1
"KOR","South Korea","Republic of Korea",117,"KOR",NA,87,"South Korea",1
"KWT","Kuwait","Kuwait",118,"KWT",NA,88,"Kuwait",1
"LAO","Laos","Lao People's Democratic Republic",120,"LAO",NA,89,"Laos",1
"LBN","Lebanon","Lebanon",121,"LBN",NA,90,"Lebanon",1
"LBR","Liberia","Liberia",123,"LBR",NA,91,"Liberia",1
"LBY","Libya","Libya",124,"LBY",NA,92,"Libya",1
"LKA","Sri Lanka","Sri Lanka",38,"LKA",NA,93,"Sri Lanka",1
"LTU","Lithuania","Lithuania",126,"LTU",NA,94,"Lithuania",1
"LUX","Luxembourg","Luxembourg",256,"LUX",NA,95,"Luxembourg",1
"LVA","Latvia","Latvia",119,"LVA",NA,96,"Latvia",1
"MAR","Morocco","Morocco",143,"MAR",NA,97,"Morocco",1
"MDA","Moldova","Republic of Moldova",146,"MDA",NA,98,"Moldova",1
"MDG","Madagascar","Madagascar",129,"MDG",NA,99,"Madagascar",1
"MEX","Mexico","Mexico",138,"MEX",NA,100,"Mexico",1
"MKD","Macedonia","North Macedonia",154,"MKD",NA,101,"Macedonia",1
"MLI","Mali","Mali",133,"MLI",NA,102,"Mali",1
"MLT","Malta","Malta",134,"MLT",NA,103,"Malta",1
"MMR","Myanmar","Myanmar",28,"MMR",NA,104,"Myanmar",1
"MNG","Mongolia","Mongolia",141,"MNG",NA,105,"Mongolia",1
"MOZ","Mozambique","Mozambique",144,"MOZ",NA,106,"Mozambique",1
"MRT","Mauritania","Mauritania",136,"MRT",NA,107,"Mauritania",1
"MWI","Malawi","Malawi",130,"MWI",NA,108,"Malawi",1
"MYS","Malaysia","Malaysia",131,"MYS",NA,109,"Malaysia",1
"NAM","Namibia","Namibia",147,"NAM",NA,110,"Namibia",1
"NER","Niger","Niger",158,"NER",NA,111,"Niger",1
"NGA","Nigeria","Nigeria",159,"NGA",NA,112,"Nigeria",1
"NIC","Nicaragua","Nicaragua",157,"NIC",NA,113,"Nicaragua",1
"NLD","Netherlands","Netherlands",150,"NLD",NA,114,"Netherlands",1
"NOR","Norway","Norway",162,"NOR",NA,115,"Norway",1
"NPL","Nepal","Nepal",149,"NPL",NA,116,"Nepal",1
"NZL","New Zealand","New Zealand",156,"NZL",NA,117,"New Zealand",1
"OMN","Oman","Oman",221,"OMN",NA,118,"Oman",1
"PAK","Pakistan","Pakistan",165,"PAK",NA,119,"Pakistan",1
"PAN","Panama","Panama",166,"PAN",NA,121,"Panama",1
"PER","Peru","Peru",170,"PER",NA,122,"Peru",1
"PHL","Philippines","Philippines",171,"PHL",NA,123,"Philippines",1
"PNG","Papua New Guinea","Papua New Guinea",168,"PNG",NA,124,"Papua New Guinea",1
"POL","Poland","Poland",173,"POL",NA,125,"Poland",1
"PRK","North Korea","Democratic People's Republic of Korea",116,"PRK",NA,126,"North Korea",1
"PRT","Portugal","Portugal",174,"PRT",NA,127,"Portugal",1
"PRY","Paraguay","Paraguay",169,"PRY",NA,128,"Paraguay",1
"PSE","Palestine","RoW",999,"ROW",NA,120,"Palestine",0
"QAT","Qatar","Qatar",179,"QAT",NA,129,"Qatar",1
"ROU","Romania","Romania",183,"ROU",NA,130,"Romania",1
"RUS","USSR/Russian Federation (1990/1991)","Russian Federation",185,"RUS",NA,131,"USSR/Russian Federation (1990/1991)",1
"RWA","Rwanda","Rwanda",184,"RWA",NA,132,"Rwanda",1
"SAU","Saudi Arabia","Saudi Arabia",194,"SAU",NA,133,"Saudi Arabia",1
"SDN","Sudan/North Sudan (2010/2011)","Sudan",276,"SDN",NA,141,"Sudan/North Sudan (2010/2011)",1
"SDS","South Sudan","RoW",999,"ROW",NA,134,"South Sudan",0
"SEN","Senegal","Senegal",195,"SEN",NA,135,"Senegal",1
"SGP","Singapore","Singapore",200,"SGP",NA,136,"Singapore",1
"SLE","Sierra Leone","Sierra Leone",197,"SLE",NA,137,"Sierra Leone",1
"SLV","El Salvador","El Salvador",60,"SLV",NA,138,"El Salvador",1
"SOM","Somalia","Somalia",201,"SOM",NA,139,"Somalia",1
"SRB","Yugoslavia/Serbia (1991/1992)","Montenegro",273,"MNE",NA,140,"Yugoslavia/Serbia (1991/1992)",1
"SRB","Yugoslavia/Serbia (1991/1992)","Serbia",272,"SRB",NA,140,"Yugoslavia/Serbia (1991/1992)",1
"SVK","Slovakia","Slovakia",199,"SVK",NA,142,"Slovakia",1
